intern_id,sprints_done,sprints_total,tasks_completed,tasks_assigned,meetings_attended,meetings_total,code_review_score,deadline_met_percentage,attendance_percentage,punctuality,performance
RX0032,2,4,7,8,14,17,88.62,100.0,100.0,1,high
RX0033,1,6,1,8,10,21,100.0,67.14,57.7,1,low
RX0034,2,5,3,12,8,19,52.48,11.56,12.78,1,low
RX0035,5,6,7,10,19,20,52.44,64.89,47.94,1,medium
RX0036,5,7,9,13,11,23,,66.44,43.9,0,medium
RX0037,4,4,12,13,17,19,86.87,53.67,65.96,1,high
RX0038,2,5,5,13,8,22,20.99,68.88,23.77,0,low
RX0039,4,6,9,13,14,15,81.43,94.41,,1,high
RX0040,3,4,9,13,12,15,99.53,40.74,100.0,1,high
RX0041,3,4,9,12,10,21,100.0,70.63,69.16,0,medium
RX0042,2,5,4,8,11,17,0.0,82.79,28.84,1,medium
RX0043,1,7,7,12,15,23,91.9,43.3,89.49,1,low
RX0044,5,6,6,10,11,17,73.13,14.27,100.0,0,medium
RX0045,1,7,2,9,1,22,41.56,5.06,54.81,0,low
RX0046,4,6,11,14,16,20,78.06,84.36,80.3,1,high
RX0047,2,5,10,12,18,20,55.09,57.82,71.07,0,medium
RX0048,1,4,4,8,1,24,86.14,60.45,31.74,1,low
RX0049,2,5,3,9,8,24,62.01,31.46,69.15,0,low
RX0050,6,6,8,12,16,24,83.02,62.07,58.37,0,high
RX0051,1,4,2,9,8,18,94.38,100.0,9.31,1,low
RX0052,3,4,4,8,14,19,31.6,59.84,8.05,1,medium
RX0053,3,6,5,10,4,17,73.92,59.36,100.0,1,low
RX0054,1,4,6,13,4,24,47.76,63.39,0.0,0,low
RX0055,3,6,9,14,11,18,79.09,54.81,47.8,0,medium
RX0056,3,4,13,13,13,16,49.52,76.73,76.89,1,high
RX0057,3,5,7,10,15,19,75.8,100.0,97.42,1,high
RX0058,4,5,6,8,10,21,51.85,73.17,59.52,0,medium
RX0059,4,5,8,13,15,17,37.95,77.82,64.68,1,medium
RX0060,2,4,8,10,15,21,86.36,63.71,100.0,1,medium
RX0061,3,7,5,11,8,22,37.18,38.42,83.92,0,low
RX0062,4,6,11,13,19,24,84.34,23.01,49.87,0,medium
RX0063,3,6,9,11,16,18,90.12,81.81,49.25,0,medium
RX0064,3,5,11,12,12,19,55.41,66.39,92.35,1,medium
RX0065,2,4,10,12,19,24,86.46,76.47,54.2,1,high
RX0066,7,7,6,8,18,21,,70.38,93.92,1,high
RX0067,7,7,6,8,15,15,100.0,76.18,80.28,1,high
RX0068,3,5,8,10,13,16,69.52,100.0,26.81,1,high
RX0069,4,4,10,14,15,21,71.27,94.03,100.0,1,high
RX0070,2,4,8,10,15,17,5.64,58.99,55.63,1,medium
RX0071,2,5,2,12,7,21,90.89,78.1,64.91,1,low
RX0072,1,6,5,14,6,21,76.1,36.18,92.55,1,low
RX0073,3,5,8,10,16,21,100.0,76.75,64.11,1,high
RX0074,1,5,6,14,2,19,96.55,95.4,0.0,0,low
RX0075,6,6,8,8,15,20,64.92,95.29,58.71,1,high
RX0076,4,4,10,10,18,22,55.49,55.48,100.0,1,high
RX0077,1,4,4,9,3,18,32.73,58.66,100.0,0,low
RX0078,1,4,2,12,9,22,47.12,76.23,38.13,1,low
RX0079,3,7,5,10,8,15,65.44,100.0,82.29,0,medium
RX0080,2,4,11,11,22,24,95.72,35.95,74.41,0,high
RX0081,2,4,6,9,10,18,100.0,73.5,33.15,1,medium
RX0082,5,6,7,14,13,21,95.35,48.74,91.09,1,medium
RX0083,4,6,6,9,14,16,49.06,35.34,100.0,1,medium
RX0084,2,4,4,8,12,15,,84.65,,1,medium
RX0085,1,4,1,14,8,15,30.54,79.06,63.22,1,low
RX0086,1,7,6,10,5,22,51.51,51.15,39.97,0,low
RX0087,5,6,7,8,20,23,17.52,69.43,19.23,0,medium
RX0088,5,6,5,8,17,23,,30.09,62.43,1,high
RX0089,6,6,7,8,14,19,6.51,49.85,100.0,1,high
RX0090,4,7,8,13,15,17,33.48,78.62,100.0,0,medium
RX0091,2,4,7,10,19,23,36.79,79.86,91.01,1,medium
RX0092,5,7,9,9,18,21,68.1,78.82,80.93,1,high
RX0093,2,5,1,10,2,21,86.27,11.76,60.27,0,low
RX0094,3,4,8,13,13,24,56.74,74.18,85.66,0,medium
RX0095,3,5,12,13,11,16,95.97,77.15,96.68,1,high
RX0096,3,7,5,11,11,19,35.16,0.0,38.0,0,low
RX0097,3,7,4,11,8,16,37.43,40.55,100.0,0,low
RX0098,2,7,6,13,7,23,0.0,66.25,32.28,0,low
RX0099,3,4,6,9,11,22,48.69,4.4,25.4,0,medium
RX0100,1,6,2,8,6,15,79.06,100.0,20.07,0,low
RX0101,6,7,7,9,19,20,100.0,87.82,68.58,0,high
RX0102,5,5,8,8,14,21,81.45,88.96,87.87,1,high
RX0103,5,7,8,11,20,20,78.03,100.0,72.61,0,high
RX0104,4,6,13,13,18,18,34.75,63.74,100.0,0,high
RX0105,6,6,9,10,14,20,63.27,82.04,78.16,1,high
RX0106,2,5,7,8,12,17,72.57,100.0,26.41,0,medium
RX0107,2,5,7,12,15,17,47.76,80.56,53.09,1,medium
RX0108,3,4,12,13,20,23,97.77,90.43,23.03,1,high
RX0109,1,5,1,10,8,19,1.45,100.0,31.99,1,low
RX0110,3,4,7,8,9,19,66.41,46.45,69.06,1,medium
RX0111,3,7,5,14,4,20,47.85,53.88,76.83,0,low
RX0112,3,4,9,10,13,24,61.3,68.48,76.31,0,medium
RX0113,3,5,9,11,13,21,36.54,81.11,71.91,1,medium
RX0114,4,6,5,9,13,24,43.73,89.07,72.69,1,medium
RX0115,1,4,5,10,9,19,59.08,32.37,53.08,1,low
RX0116,1,4,6,13,3,18,59.86,72.92,76.04,1,low
RX0117,3,4,7,12,13,15,9.51,91.79,100.0,1,medium
RX0118,3,5,11,13,20,24,87.8,89.54,56.88,1,medium
RX0119,4,4,9,9,16,19,100.0,86.28,100.0,1,high
RX0120,4,4,9,12,19,20,75.62,41.14,78.03,1,high
RX0121,4,7,6,13,12,16,35.44,59.38,78.75,1,medium
RX0122,1,4,4,9,4,22,35.11,96.92,56.92,0,low
RX0123,1,4,2,9,8,23,84.48,45.97,46.74,0,low
RX0124,4,5,7,8,9,16,78.78,100.0,34.05,0,medium
RX0125,4,5,8,12,16,17,96.49,22.87,72.86,0,medium
RX0126,3,4,7,8,12,21,59.95,23.77,91.14,1,medium
RX0127,1,6,3,8,6,22,32.4,49.07,32.23,1,low
RX0128,4,5,10,11,17,24,60.84,61.41,51.78,1,medium
RX0129,4,7,6,9,16,18,50.19,87.59,61.7,1,high
RX0130,3,7,8,13,6,21,52.44,91.39,59.25,0,low
RX0131,7,7,8,11,18,20,54.28,48.38,43.28,1,high
RX0132,1,6,4,14,10,20,65.24,0.0,55.85,0,low
RX0133,2,6,1,14,5,18,71.37,58.61,33.33,0,low
RX0134,1,7,6,10,9,17,100.0,31.01,65.55,0,low
RX0135,2,7,5,11,6,18,0.31,92.69,89.32,0,low
RX0136,5,6,4,8,12,21,14.43,45.76,51.08,1,medium
RX0137,5,7,6,11,14,20,56.79,89.73,52.32,1,medium
RX0138,2,6,5,9,10,19,14.87,25.2,72.38,0,low
RX0139,2,4,10,12,12,18,30.8,100.0,56.14,1,high
RX0140,3,5,8,9,9,19,68.75,93.56,31.98,1,medium
RX0141,3,6,1,9,1,22,,32.4,68.8,0,low
RX0142,1,4,3,10,8,22,29.67,55.3,38.72,0,low
RX0143,3,6,2,11,5,17,87.66,60.65,51.22,0,low
RX0144,4,4,6,9,14,16,,100.0,91.12,1,high
RX0145,2,7,6,10,13,22,95.85,70.24,71.15,0,low
RX0146,3,6,7,13,17,24,86.81,72.88,60.84,1,medium
RX0147,6,7,9,13,17,21,66.66,80.65,75.03,1,high
RX0148,4,5,12,13,20,23,100.0,64.2,100.0,1,high
RX0149,3,4,8,12,13,15,,43.59,60.53,1,medium
RX0150,1,4,3,11,10,22,80.53,16.19,87.34,1,low
RX0151,3,4,6,11,14,18,80.67,84.95,93.16,0,medium
RX0152,3,4,10,11,11,18,,74.85,43.12,1,medium
RX0153,2,4,9,12,11,18,63.16,47.8,100.0,1,medium
RX0154,5,6,8,8,15,17,100.0,86.07,70.12,1,high
RX0155,6,6,10,11,12,15,85.46,92.64,62.42,1,high
RX0156,1,7,2,10,5,21,38.03,40.33,0.0,0,low
RX0157,3,5,6,9,15,17,25.68,59.01,74.9,1,high
RX0158,5,7,10,11,22,24,50.01,82.1,75.58,1,high
RX0159,3,7,4,8,2,18,0.0,81.52,77.11,0,low
RX0160,2,5,1,9,5,22,41.56,21.69,72.01,0,low
RX0161,2,4,7,8,14,16,75.82,53.76,90.44,0,medium
RX0162,1,4,2,8,6,16,100.0,47.9,89.51,0,low
RX0163,2,6,4,12,8,21,40.93,61.71,57.17,1,low
RX0164,4,7,12,13,16,18,59.45,73.94,44.07,1,medium
RX0165,1,5,4,8,3,16,52.5,81.44,25.8,0,low
RX0166,1,7,4,11,5,24,49.84,90.64,71.1,0,low
RX0167,6,7,6,9,12,21,100.0,69.57,62.65,1,medium
RX0168,4,5,5,10,17,23,51.95,74.19,49.59,1,medium
RX0169,6,6,8,12,19,23,81.59,81.52,83.89,0,high
RX0170,3,7,4,8,9,16,39.41,52.26,0.0,1,low
RX0171,1,5,4,8,2,19,30.12,0.0,77.91,0,low
RX0172,1,6,4,8,2,18,87.71,90.84,21.36,0,low
RX0173,2,6,1,14,6,17,32.17,49.23,39.91,1,low
RX0174,4,6,7,9,13,17,98.88,43.78,51.44,1,high
RX0175,1,6,6,11,6,15,,41.94,70.39,1,low
RX0176,1,6,4,11,3,21,,66.02,100.0,0,low
RX0177,3,6,8,12,16,17,70.71,87.48,87.56,0,medium
RX0178,4,7,9,10,15,16,74.29,56.45,84.77,0,high
RX0179,1,4,7,12,8,21,30.38,0.08,70.34,1,low
RX0180,2,4,8,10,12,18,94.34,58.59,4.93,1,medium
RX0181,2,7,6,14,9,20,74.2,61.18,49.45,0,low
RX0182,3,7,5,8,10,20,20.18,57.27,46.2,0,medium
RX0183,2,4,5,8,15,22,,100.0,83.91,0,high
RX0184,1,4,4,8,3,22,79.77,79.94,49.56,1,low
RX0185,1,5,3,12,14,22,54.35,36.56,33.75,0,low
RX0186,6,7,5,8,9,15,68.57,77.8,60.79,0,medium
RX0187,3,5,4,9,16,17,,57.07,63.98,0,medium
RX0188,2,4,13,14,16,24,100.0,71.51,40.24,1,high
RX0189,4,5,6,9,11,16,97.4,76.43,63.04,1,medium
RX0190,6,7,8,8,12,15,63.09,75.99,76.77,1,high
RX0191,3,5,9,12,18,22,59.34,72.0,44.76,0,medium
RX0192,5,5,10,10,16,20,78.48,69.82,100.0,1,high
RX0193,4,6,9,13,17,18,57.32,76.19,25.73,1,medium
RX0194,4,4,9,10,15,21,47.46,85.86,96.98,0,high
RX0195,3,7,5,10,3,15,59.73,44.26,73.93,1,low
RX0196,3,6,6,12,15,22,43.65,26.89,71.02,1,medium
RX0197,4,5,9,12,14,20,8.19,86.83,60.32,1,medium
RX0198,4,5,8,14,11,23,100.0,94.85,56.58,0,medium
RX0199,1,7,1,11,1,15,51.71,85.11,100.0,1,low
RX0200,3,5,10,12,16,16,65.17,64.29,97.13,0,high
RX0201,6,7,8,12,19,23,,81.26,100.0,1,high
RX0202,2,5,9,11,10,16,42.6,17.66,70.33,1,medium
RX0203,2,5,7,9,13,24,100.0,49.25,95.64,0,medium
RX0204,4,6,8,12,16,17,75.6,86.96,63.01,1,high
RX0205,3,5,9,13,12,16,65.91,99.24,36.11,0,medium
RX0206,1,7,1,9,15,23,51.96,71.81,36.53,1,low
RX0207,2,5,9,12,21,23,55.76,68.74,91.74,1,medium
RX0208,1,7,1,11,10,17,55.69,57.35,38.35,1,low
RX0209,4,6,11,12,15,19,,78.95,67.65,1,high
RX0210,3,7,4,8,2,17,40.52,93.12,73.92,0,low
RX0211,3,5,6,8,16,23,53.17,74.13,89.27,1,medium
RX0212,2,5,6,11,6,19,98.07,30.75,59.63,0,low
RX0213,4,6,10,12,16,24,56.15,67.06,97.62,1,medium
RX0214,6,7,10,14,8,15,58.96,70.79,92.45,1,medium
RX0215,4,7,9,12,22,23,46.74,45.65,88.5,1,high
RX0216,3,7,6,10,12,23,66.1,100.0,62.31,0,medium
RX0217,6,7,10,11,16,16,44.8,62.67,72.5,1,high
RX0218,1,7,4,11,6,15,40.47,47.11,0.0,1,low
RX0219,5,7,5,8,16,22,90.71,59.29,89.11,1,high
RX0220,3,5,11,12,15,17,56.3,76.2,74.28,1,medium
RX0221,4,7,5,10,23,24,54.12,24.57,22.41,1,medium
RX0222,1,5,2,14,8,22,89.51,33.13,86.44,0,low
RX0223,1,4,5,13,10,23,33.53,93.09,96.01,0,low
RX0224,1,5,3,12,12,23,57.0,31.11,65.17,0,low
RX0225,4,4,12,14,13,15,74.95,78.01,82.01,1,high
RX0226,3,7,5,8,9,16,74.69,26.84,65.81,0,medium
RX0227,2,4,8,12,16,18,73.73,100.0,44.87,1,medium
RX0228,3,5,8,11,11,21,83.95,75.23,,0,medium
RX0229,5,6,7,11,16,24,37.42,62.77,87.49,1,medium
RX0230,3,7,9,11,14,21,78.61,82.26,1.04,0,medium
RX0231,5,7,9,10,14,17,94.35,91.41,74.97,1,high
RX0232,5,5,10,10,19,20,100.0,100.0,57.09,1,high
RX0233,3,6,4,9,13,20,63.61,77.29,69.3,0,medium
RX0234,3,7,3,9,6,22,18.22,61.9,69.93,1,low
RX0235,2,4,11,13,14,20,91.16,93.75,92.67,1,high
RX0236,1,5,4,8,3,17,52.64,53.19,68.64,0,low
RX0237,1,6,3,12,6,15,62.62,45.91,72.4,0,low
RX0238,4,5,11,14,13,17,90.22,76.39,67.2,1,high
RX0239,3,4,7,11,9,19,46.6,22.32,37.09,1,medium
RX0240,2,6,7,14,3,21,87.07,69.2,95.07,1,low
RX0241,3,5,9,12,21,24,77.76,75.77,53.25,1,high
RX0242,3,5,7,8,15,17,65.98,70.18,66.73,0,medium
RX0243,4,4,12,13,14,18,44.01,91.59,96.23,1,high
RX0244,2,4,6,11,7,15,31.29,78.79,73.51,0,medium
RX0245,4,4,5,8,12,18,81.44,73.76,100.0,0,high
RX0246,5,5,6,9,17,17,63.32,82.01,85.96,1,high
RX0247,5,6,6,8,19,23,81.74,52.43,60.54,1,high
RX0248,4,5,12,13,15,17,13.06,77.06,34.06,0,medium
RX0249,1,4,3,8,9,20,75.6,43.34,84.98,0,low
RX0250,5,6,9,11,12,16,65.26,61.19,80.08,1,high
RX0251,3,5,5,8,11,15,73.57,39.03,,1,medium
RX0252,1,6,5,9,13,21,54.95,86.47,41.0,1,low
RX0253,3,5,6,8,12,24,75.95,57.83,72.71,0,medium
RX0254,1,4,1,14,13,20,0.0,0.0,23.03,1,low
RX0255,1,4,4,9,2,19,61.23,0.0,25.35,1,low
RX0256,4,5,5,8,18,24,15.43,61.35,50.18,0,medium
RX0257,1,4,6,14,1,15,100.0,66.69,28.95,0,low
RX0258,3,4,4,8,15,19,73.37,75.84,44.85,0,medium
RX0259,1,6,6,12,1,15,62.57,80.92,83.12,0,low
RX0260,4,7,7,8,19,23,54.42,12.85,60.33,0,medium
RX0261,4,6,5,10,16,19,26.55,62.82,81.59,1,medium
RX0262,1,6,3,11,3,24,63.91,59.53,46.5,0,low
RX0263,5,6,10,10,11,16,98.92,47.22,82.08,1,high
RX0264,3,7,6,8,14,17,45.52,34.21,97.69,1,medium
RX0265,4,7,8,9,13,18,34.19,74.95,100.0,1,medium
RX0266,4,5,12,13,12,24,54.55,38.99,71.01,0,medium
RX0267,4,5,7,8,16,17,73.2,44.38,77.08,1,high
RX0268,3,6,6,11,8,21,,62.81,38.83,0,low
RX0269,3,4,8,10,18,19,42.84,68.55,100.0,1,high
RX0270,1,4,4,13,11,18,53.11,100.0,19.71,0,low
RX0271,1,5,6,10,6,19,19.05,88.4,56.05,0,low
RX0272,5,7,7,12,16,17,32.28,77.5,30.02,1,medium
RX0273,3,4,6,10,12,19,56.98,93.12,65.16,1,medium
RX0274,3,6,5,10,17,19,77.88,32.21,86.69,0,medium
RX0275,5,5,9,13,15,16,66.42,49.64,100.0,1,high
RX0276,3,4,11,13,9,16,46.2,54.52,57.68,0,medium
RX0277,1,7,3,13,8,21,49.94,30.87,89.46,1,low
RX0278,2,5,7,13,5,18,74.61,48.82,32.6,0,low
RX0279,5,5,11,11,18,19,80.87,50.64,71.03,1,high
RX0280,1,5,8,13,7,22,82.71,80.53,100.0,0,low
RX0281,3,7,5,11,16,21,58.98,69.73,40.09,1,medium
RX0282,5,7,6,8,18,24,84.58,58.03,86.13,0,medium
RX0283,2,5,7,10,11,21,69.34,47.28,75.85,1,medium
RX0284,3,4,10,11,15,24,0.0,43.04,89.05,0,medium
RX0285,3,4,13,13,16,16,71.35,83.9,73.0,1,high
RX0286,1,6,7,12,9,18,20.12,59.06,4.95,0,low
RX0287,2,4,5,11,14,18,,23.37,49.09,1,medium
RX0288,3,5,9,14,17,21,51.44,62.86,89.15,1,high
RX0289,1,4,5,13,5,16,13.46,74.61,43.68,1,low
RX0290,1,4,4,13,3,15,100.0,31.68,75.8,0,low
RX0291,6,6,10,13,15,15,71.98,62.13,56.87,1,high
RX0292,3,5,6,12,8,17,75.15,47.43,,0,medium
RX0293,5,6,7,8,15,20,81.84,27.69,69.02,1,medium
RX0294,7,7,7,8,19,23,100.0,62.92,75.41,1,high
RX0295,2,7,4,9,11,18,17.14,63.95,53.34,0,low
RX0296,3,7,5,9,3,17,64.55,26.53,100.0,0,low
RX0297,3,6,5,8,12,20,39.1,17.88,70.73,1,medium
RX0298,1,4,1,12,10,22,100.0,82.34,58.17,0,low
RX0299,2,5,2,14,10,17,64.0,70.19,60.32,0,low
RX0300,7,7,9,9,12,15,51.76,83.47,100.0,0,high
RX0301,2,5,1,11,7,24,48.02,68.52,42.08,0,low
RX0302,3,4,5,8,16,24,56.35,58.67,68.67,0,medium
RX0303,3,5,6,12,14,15,90.85,63.38,51.11,0,medium
RX0304,4,7,8,10,15,20,43.97,81.72,100.0,0,high
RX0305,2,5,10,11,12,15,29.42,47.34,100.0,0,medium
RX0306,3,7,3,12,2,15,90.37,46.34,31.49,0,low
RX0307,3,7,6,10,10,18,22.14,73.04,100.0,0,medium
RX0308,5,6,5,9,16,23,60.46,100.0,73.77,0,medium
RX0309,3,5,10,13,14,22,60.07,100.0,25.81,1,medium
RX0310,4,6,9,14,8,17,49.64,38.36,94.83,0,medium
RX0311,2,5,4,8,7,18,52.2,44.91,93.47,0,low
RX0312,5,6,7,11,17,21,91.75,78.74,58.9,1,high
RX0313,4,6,6,8,14,23,45.52,59.38,80.91,1,medium
RX0314,2,7,2,8,11,24,29.21,57.5,40.33,0,low
RX0315,6,7,8,11,13,18,89.03,54.58,89.47,1,high
RX0316,1,4,8,14,4,15,41.97,51.68,28.1,0,low
RX0317,1,4,5,11,3,19,100.0,50.32,11.27,0,low
RX0318,2,6,2,11,5,16,58.13,64.41,91.32,0,low
RX0319,3,7,7,11,11,18,81.56,73.51,54.04,1,medium
RX0320,1,4,4,13,13,24,60.65,62.38,0.0,0,low
RX0321,4,6,7,10,12,19,100.0,41.16,65.23,1,medium
RX0322,3,6,2,12,2,18,100.0,49.12,5.12,0,low
RX0323,2,5,3,11,8,17,70.51,53.34,89.81,0,low
RX0324,4,5,10,10,17,23,80.48,43.11,100.0,0,high
RX0325,2,6,3,11,2,18,100.0,57.31,100.0,0,low
RX0326,3,7,9,13,14,18,40.05,100.0,71.12,1,medium
RX0327,2,5,7,10,20,21,54.42,78.59,60.93,1,medium
RX0328,3,6,11,13,13,15,33.7,14.7,64.72,0,medium
RX0329,2,4,11,12,13,17,96.64,79.53,100.0,1,high
RX0330,6,7,8,10,21,21,48.26,59.09,76.32,0,high
RX0331,2,4,7,8,13,16,100.0,84.66,98.7,0,medium
RX0332,3,7,6,10,11,20,27.05,19.54,68.48,0,low
RX0333,2,6,2,11,3,22,100.0,35.73,29.4,0,low
RX0334,4,5,8,9,16,20,71.71,53.16,96.7,1,high
RX0335,4,5,9,14,17,22,25.85,61.28,77.57,0,medium
RX0336,1,4,2,8,9,20,100.0,57.88,65.49,1,low
RX0337,3,4,9,14,14,16,86.67,51.96,44.84,1,medium
RX0338,2,5,7,11,16,22,58.42,100.0,37.06,1,medium
RX0339,4,6,6,13,7,15,45.76,45.85,40.08,0,medium
RX0340,3,4,10,11,14,20,71.3,72.57,71.85,0,high
RX0341,4,6,8,10,22,23,91.94,90.48,92.97,0,medium
RX0342,3,5,9,11,14,16,67.93,78.99,44.66,1,medium
RX0343,1,5,2,8,5,24,65.86,93.44,80.23,0,low
RX0344,4,6,8,12,16,20,51.11,59.14,85.19,0,medium
RX0345,3,6,5,9,16,18,100.0,70.32,100.0,0,medium
RX0346,2,4,6,8,20,24,62.24,100.0,91.08,1,high
RX0347,4,6,8,10,10,17,56.81,50.98,0.0,1,medium
RX0348,6,6,12,12,17,22,100.0,78.13,,1,high
RX0349,2,5,4,8,9,23,0.87,58.59,64.57,0,low
RX0350,4,4,7,11,14,17,74.19,67.97,95.9,1,high
RX0351,3,4,5,8,10,18,72.79,100.0,85.39,0,medium
RX0352,2,6,6,12,6,24,48.56,52.68,,0,low
RX0353,6,7,12,14,12,15,100.0,100.0,,1,high
RX0354,2,5,5,12,9,24,68.99,2.38,22.15,0,low
RX0355,1,5,1,14,7,15,100.0,100.0,75.37,0,low
RX0356,4,4,12,12,17,23,53.75,53.04,80.78,1,high
RX0357,3,5,4,8,17,24,54.95,73.0,58.22,1,medium
RX0358,3,5,8,8,16,18,57.77,90.01,53.97,1,high
RX0359,2,4,5,10,15,21,63.61,85.67,50.7,1,medium
RX0360,3,4,4,9,16,20,40.25,87.9,83.73,0,medium
RX0361,1,6,5,11,9,22,19.11,27.75,74.86,1,low
RX0362,1,7,1,9,8,24,,12.76,87.45,0,low
RX0363,5,7,11,12,13,19,54.4,96.64,53.01,1,high
RX0364,3,6,2,14,4,23,37.54,25.43,46.48,0,low
RX0365,4,5,8,10,15,16,28.9,100.0,65.27,1,medium
RX0366,2,6,1,10,3,21,13.57,51.29,67.68,0,low
RX0367,1,5,2,8,2,21,63.1,47.8,43.17,0,low
RX0368,5,6,13,13,16,17,66.96,99.06,95.51,1,high
RX0369,3,4,11,12,17,22,68.71,76.46,81.46,1,high
RX0370,1,4,3,8,4,16,45.49,2.82,76.14,0,low
RX0371,3,6,2,11,2,15,17.62,18.93,48.88,1,low
RX0372,1,5,5,12,1,18,,16.4,58.24,0,low
RX0373,3,5,5,10,14,20,84.89,100.0,24.05,0,medium
RX0374,5,6,5,8,15,24,15.34,14.54,68.63,1,medium
RX0375,4,6,5,8,14,19,55.71,85.43,86.43,1,high
RX0376,3,7,6,8,15,24,100.0,84.07,31.18,1,medium
RX0377,4,5,5,8,10,16,60.93,52.51,81.18,1,medium
RX0378,2,6,6,12,9,19,,74.94,38.41,0,low
RX0379,6,7,14,14,20,21,52.02,34.94,85.28,1,high
RX0380,4,6,6,8,18,22,100.0,40.98,35.08,1,medium
RX0381,2,4,6,8,12,17,,70.51,100.0,1,medium
RX0382,1,4,6,14,4,16,52.06,44.84,100.0,0,low
RX0383,1,5,2,8,5,18,89.42,41.75,36.34,1,low
RX0384,3,7,1,12,5,21,33.39,67.1,38.52,0,low
RX0385,3,6,6,10,10,21,66.97,86.55,33.77,1,medium
RX0386,2,4,7,13,9,15,32.3,45.47,39.38,1,medium
RX0387,2,7,2,8,4,16,0.0,70.41,43.52,0,low
RX0388,2,4,11,13,18,23,0.0,26.5,69.94,0,medium
RX0389,5,7,11,13,19,22,90.07,77.44,100.0,0,high
RX0390,3,4,8,12,12,18,100.0,100.0,58.9,1,medium
RX0391,1,4,4,9,1,24,32.72,0.0,75.95,0,low
RX0392,3,6,7,9,15,17,48.91,56.68,73.83,0,medium
RX0393,4,7,9,14,20,23,43.64,41.73,62.09,0,medium
RX0394,6,7,7,13,10,15,100.0,100.0,82.05,1,medium
RX0395,5,5,8,9,20,23,89.21,84.25,56.41,1,high
RX0396,1,7,6,10,6,16,55.17,15.14,54.66,0,low
RX0397,7,7,9,10,18,20,71.94,72.11,73.42,1,high
RX0398,3,4,10,13,14,15,68.98,80.75,18.08,1,medium
RX0399,5,5,8,11,14,20,81.6,85.87,66.1,0,high
RX0400,4,6,5,9,12,15,42.97,79.2,0.0,0,medium
RX0401,1,4,4,11,13,22,54.25,0.0,67.87,1,low
RX0402,3,4,5,8,17,24,,54.7,85.28,1,medium
RX0403,1,7,6,10,5,24,39.72,2.03,99.95,1,low
RX0404,3,4,8,11,24,24,,98.55,75.75,1,high
RX0405,2,5,7,9,15,22,65.44,56.83,72.01,1,medium
RX0406,3,5,12,14,15,20,90.32,74.55,66.22,1,high
RX0407,3,5,8,10,13,24,94.25,24.18,,1,medium
RX0408,1,4,5,14,5,19,33.8,73.39,29.16,0,low
RX0409,3,7,5,10,12,18,74.08,31.9,62.68,1,medium
RX0410,6,6,13,13,13,18,65.08,73.82,69.9,1,high
RX0411,1,5,5,11,2,22,55.01,67.52,71.76,0,low
RX0412,1,5,6,10,15,23,44.78,50.15,36.25,0,low
RX0413,1,4,4,14,5,16,81.65,49.39,34.71,1,low
RX0414,1,5,2,11,10,18,17.17,98.75,20.1,0,low
RX0415,4,5,5,8,13,20,41.62,100.0,58.92,1,medium
RX0416,3,7,1,10,10,16,50.07,95.14,66.06,1,low
RX0417,2,5,1,8,2,20,27.03,53.96,0.0,1,low
